site_id,capture_date,survey_year,period_id,pit_tag_id,swab_id,bd_load
70550,2006-08-13,2006,1.1.1,62374570,RKS3207,183736.32
70550,2006-08-13,2006,1.1.1,80045534,RKS3213,21440.54
70550,2006-08-13,2006,1.1.1,80052585,RKS3198,10059.98
70550,2006-08-13,2006,1.1.1,80068126,RKS3233,416888.16
70550,2006-08-13,2006,1.1.1,80374566,RKS1619,60971.04
70550,2006-08-13,2006,1.1.1,91022277,RKS1622,17674.56
70550,2006-08-13,2006,1.1.1,91066872,RKS3197,0
70550,2006-08-13,2006,1.1.1,91094305,RKS3204,37370.3
70550,2006-08-13,2006,1.1.1,91315561,RKS3219,24767.95
70550,2006-08-13,2006,1.1.1,91318870,RKS3211,8902.56
70550,2006-08-13,2006,1.1.1,91320558,RKS3220,547.02
70550,2006-08-13,2006,1.1.1,91344771,RKS3237,192
70550,2006-08-13,2006,1.1.1,91346622,RKS3224,77785.92
70550,2006-08-13,2006,1.1.1,91356306,RKS3205,44519.71
70550,2006-08-13,2006,1.1.1,91356534,RKS4476,133392
70550,2006-08-13,2006,1.1.1,91357564,RKS1643,408157.44
70550,2006-08-13,2006,1.1.1,91515292,RKS3201,15399.84
70550,2006-08-13,2006,1.1.1,91550049,RKS1226,1304.65
70550,2006-08-13,2006,1.1.1,91572056,RKS3200,500438.4
70550,2006-08-13,2006,1.1.1,118001058990,RKS1613,71235.84
70550,2006-08-13,2006,1.1.1,118001060333,RKS1225,546.99
70550,2006-08-21,2006,1.2.1,62374570,RKS3877,32461.58
70550,2006-08-21,2006,1.2.1,80045534,RKS3878,306.37
70550,2006-08-21,2006,1.2.1,80052585,RKS3854,108864
70550,2006-08-21,2006,1.2.1,80374566,RKS3884,20667.5
70550,2006-08-21,2006,1.2.1,91022277,RKS3857,0
70550,2006-08-21,2006,1.2.1,91066872,RKS3850,226944
70550,2006-08-21,2006,1.2.1,91072047,RKS3885,26217.65
70550,2006-08-21,2006,1.2.1,91315561,RKS3843,19872
70550,2006-08-21,2006,1.2.1,91318870,RKS3861,105504
70550,2006-08-21,2006,1.2.1,91320558,RKS3863,112744.32
70550,2006-08-21,2006,1.2.1,91336278,RKS3849,672
70550,2006-08-21,2006,1.2.1,91344771,RKS3856,15264
70550,2006-08-21,2006,1.2.1,91356306,RKS3900,11406.34
70550,2006-08-21,2006,1.2.1,91515292,RKS3869,25114.08
70550,2006-08-21,2006,1.2.1,91530379,RKS3870,6156.96
70550,2006-08-21,2006,1.2.1,91550049,RKS3879,3718.16
70550,2006-08-21,2006,1.2.1,91571769,RKS3845,1152
70550,2006-08-21,2006,1.2.1,91572056,RKS3871,47640.91
70550,2006-08-21,2006,1.2.1,91582279,RKS3903,1513.76
70550,2006-08-31,2006,1.3.1,62374570,RKS3936,90128.64
70550,2006-08-31,2006,1.3.1,80045534,RKS3889,4726.11
70550,2006-08-31,2006,1.3.1,80048769,RKS3938,492528
70550,2006-08-31,2006,1.3.1,80374566,RKS3907,218412
70550,2006-08-31,2006,1.3.1,91021044,RKS3932,0
70550,2006-08-31,2006,1.3.1,91034860,RKS3918,1349.25
70550,2006-08-31,2006,1.3.1,91063878,RKS3913,42944.5
70550,2006-08-31,2006,1.3.1,91315561,RKS3925,803.51
70550,2006-08-31,2006,1.3.1,91318870,RKS3928,74092.8
70550,2006-08-31,2006,1.3.1,91320558,RKS3927,75677.76
